PC Name,Caste,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Year
Nabarangpur,ST,Orissa,Balabhadra Majhi,Biju Janata Dal,1297210,1022172,0.788,2042,0.002,2014
Nagaland,ST,Nagaland,Neiphiu Rio,Naga Peoples Front,1182948,1038910,0.878,400225,0.385,2014
Rajmahal,ST,Jharkhand,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,1353172,951563,0.703,41337,0.043,2014
Tripura East,ST,Tripura,Jitendra Choudhury,Communist Party Of India (Marxist),1140269,951110,0.834,484358,0.509,2014
Tura,ST,Meghalaya,Purno Agitok Sangma,National People's Party,586501,458071,0.781,39716,0.087,2014
Amalapuram,Unspecified,Andhra Pradesh,Chinta Anuradha,Yuvajana Sramika Rythu Congress Party,1156280,1232895,1.081,39795,0.032,2019
Anakapalli,Unspecified,Andhra Pradesh,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,1397335,1238491,0.911,89192,0.072,2019
Anantapur,Unspecified,Andhra Pradesh,Talari Rangaiah,Yuvajana Sramika Rythu Congress Party,1489758,1342306,0.912,141428,0.105,2019
Anantnag,Unspecified,Jammu & Kashmir,Hasnain Masoodi,Jammu & Kashmir National Conference,1301023,124896,0.097,6676,0.053,2019
Aruku,Unspecified,Andhra Pradesh,Goddeti. Madhavi,Yuvajana Sramika Rythu Congress Party,1358657,1074538,0.826,224089,0.209,2019
Bapatla,Unspecified,Andhra Pradesh,Nandigam Suresh,Yuvajana Sramika Rythu Congress Party,1361646,1266492,0.94,16065,0.013,2019
Baramulla,Unspecified,Jammu & Kashmir,Mohammad Akbar Lone,Jammu & Kashmir National Conference,1190745,455550,0.389,30233,0.066,2019
Chittoor,Unspecified,Andhra Pradesh,N. Reddeppa,Yuvajana Sramika Rythu Congress Party,1430405,1319472,0.937,137271,0.104,2019
Eluru,Unspecified,Andhra Pradesh,Kotagiri Sridhar,Yuvajana Sramika Rythu Congress Party,1418277,1327923,0.953,165925,0.125,2019
Guntur,Unspecified,Andhra Pradesh,Jayadev Galla,Telugu Desam,1486993,1351474,0.913,4205,0.003,2019
Hindupur,Unspecified,Andhra Pradesh,Kuruva Gorantla Madhav,Yuvajana Sramika Rythu Congress Party,1434282,1338514,0.945,140748,0.105,2019
Kadapa,Unspecified,Andhra Pradesh,Y.S.Avinash Reddy,Yuvajana Sramika Rythu Congress Party,1325963,1228242,0.937,380726,0.31,2019
Kakinada,Unspecified,Andhra Pradesh,Vanga Geethaviswanath,Yuvajana Sramika Rythu Congress Party,1412538,1234655,0.886,25738,0.021,2019
Keonjhar,ST,Orissa,Chandrani Murmu,Biju Janata Dal,1449996,1176292,0.825,66203,0.056,2019
Kokrajhar,ST,Assam,Naba Kumar Sarania,Independent,1510051,1479485,0.99,37786,0.026,2019
Kurnool,Unspecified,Andhra Pradesh,Ayushman Doctor Sanjeev Kumar,Yuvajana Sramika Rythu Congress Party,1354509,1183035,0.879,148903,0.126,2019
Lakshadweep,Unspecified,Lakshadweep,Mohammed Faizal Pp,Nationalist Congress Party,49922,47009,0.944,823,0.018,2019
Machilipatnam,Unspecified,Andhra Pradesh,Balashowry Vallabhaneni,Yuvajana Sramika Rythu Congress Party,1296361,1244570,0.971,60238,0.048,2019
Mahabubabad,ST,Telangana,Kavitha Malothu,Telangana Rashtra Samithi,1336286,983535,0.747,146663,0.149,2019
Mizoram,ST,Mizoram,C Lalrosanga,Mizo National Front,725057,499621,0.693,8140,0.016,2019
Nabarangpur,ST,Orissa,Ramesh Chandra Majhi,Biju Janata Dal,1401704,1159700,0.859,41634,0.036,2019
Nagaland,ST,Nagaland,Tokheho Yepthomi,Nationalist Democratic Progressive Party,1190285,1006357,0.847,16344,0.016,2019
Nandyal,Unspecified,Andhra Pradesh,Pocha . Brahmananda Reddy,Yuvajana Sramika Rythu Congress Party,1402585,1299093,0.933,250119,0.193,2019
Narasaraopet,Unspecified,Andhra Pradesh,Lavu Sri Krishna Devarayalu,Yuvajana Sramika Rythu Congress Party,1545916,1437420,0.938,154002,0.107,2019
Narsapuram,Unspecified,Andhra Pradesh,Kanumuru Raghu Rama Krishna Raju,Yuvajana Sramika Rythu Congress Party,1294966,1177738,0.919,32676,0.028,2019
Nellore,Unspecified,Andhra Pradesh,Adala Prabhakara Reddy,Yuvajana Sramika Rythu Congress Party,1460959,1287036,0.893,148571,0.115,2019
Ongole,Unspecified,Andhra Pradesh,Magunta Sreenivasulu Reddy,Yuvajana Sramika Rythu Congress Party,1410224,1342368,0.967,214851,0.16,2019
Outer Manipur,ST,Manipur,Lorho S. Pfoze,Naga Peoples Front,918966,858029,0.937,73782,0.086,2019
Palghar,ST,Maharashtra,Rajendra Dhedya Gavit,Shiv Sena,1727531,1201941,0.713,88883,0.074,2019
Rajahmundry,Unspecified,Andhra Pradesh,Margani Bharat,Yuvajana Sramika Rythu Congress Party,1382260,1250427,0.918,121634,0.097,2019
Rajampet,Unspecified,Andhra Pradesh,P.V.Midhun Reddy,Yuvajana Sramika Rythu Congress Party,1406762,1224354,0.886,268284,0.219,2019
Rajmahal,ST,Jharkhand,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,1422969,1047657,0.745,99195,0.095,2019
Srikakulam,Unspecified,Andhra Pradesh,Kinjarapu Ram Mohan Naidu,Telugu Desam,1410763,1157329,0.839,6653,0.006,2019
Srinagar,Unspecified,Jammu & Kashmir,Farooq Abdullah,Jammu & Kashmir National Conference,1205233,186832,0.156,70050,0.375,2019
Tirupati,Unspecified,Andhra Pradesh,Balli Durga Prasad Rao,Yuvajana Sramika Rythu Congress Party,1509361,1313515,0.887,228376,0.174,2019
Tura,ST,Meghalaya,Agatha K. Sangma,National People's Party,692353,583041,0.851,64030,0.11,2019
Vijayawada,Unspecified,Andhra Pradesh,Kesineni Srinivas (NANI),Telugu Desam,1362762,1277711,0.944,8726,0.007,2019
Visakhapatnam,Unspecified,Andhra Pradesh,M V V Satyanarayana,Yuvajana Sramika Rythu Congress Party,1534088,1239754,0.819,4414,0.004,2019
Vizianagaram,Unspecified,Andhra Pradesh,Bellana Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,1380455,1217890,0.904,48036,0.039,2019
Alathur,SC,Kerala,K.Radhakrishnan,Communist Party Of India (Marxist),1337496,992268,0.742,20111,0.02,2024
Amalapuram,SC,Andhra Pradesh,G M Harish (BALAYOGI),Telugu Desam,1531410,1301106,0.85,342196,0.263,2024
Arambagh,SC,West Bengal,Bag Mitali,All India Trinamool Congress,1883266,1559079,0.828,6399,0.004,2024
Bapatla,SC,Andhra Pradesh,Krishna Prasad Tenneti,Telugu Desam,1506354,1300745,0.864,208031,0.16,2024
Bardhaman Purb,SC,West Bengal,Dr. Sharmila Sarkar,All India Trinamool Congress,1801333,1497310,0.831,160572,0.107,2024
Bolpur,SC,West Bengal,Asit Kumar Mal,All India Trinamool Congress,1839234,1528470,0.831,327253,0.214,2024
Chidambaram,SC,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,1519847,1167071,0.768,103554,0.089,2024
Chittoor,SC,Andhra Pradesh,Daggumalla Prasada Rao,Telugu Desam,1640202,1418857,0.865,220479,0.155,2024
Cooch Behar,SC,West Bengal,Jagadish Chandra Barma Basunia,All India Trinamool Congress,1966893,1623048,0.825,39250,0.024,2024
Etawah,SC,Uttar Pradesh,Jitendra Kumar Dohare,Samajwadi Party,1828498,1033784,0.565,58419,0.057,2024
Faridkot,SC,Punjab,Sarabjeet Singh Khalsa,Independent,1594033,1014455,0.636,70053,0.069,2024
Gaya,SC,Bihar,Jitan Ram Manjhi,Hindustani Awam Morcha (Secular),1816815,963676,0.53,101812,0.106,2024
Gopalganj,SC,Bihar,Dr. Alok Kumar Suman,Janata Dal (United),2024673,1063027,0.525,127180,0.12,2024
Hajipur,SC,Bihar,Chirag Paswan,Lok Janshakti Party(Ram Vilas),1967094,1155324,0.587,170105,0.147,2024
Hoshiarpur,SC,Punjab,Dr. Raj Kumar Chabbewal,Aam Aadmi Party,1601826,948485,0.592,44111,0.047,2024
Jalaun,SC,Uttar Pradesh,Narayan Das Ahirwar,Samajwadi Party,2006161,1128949,0.563,53898,0.048,2024
Jamui,SC,Bihar,Arun Bharti,Lok Janshakti Party(Ram Vilas),1907126,979233,0.514,112482,0.115,2024
Joynagar,SC,West Bengal,Pratima Mondal,All India Trinamool Congress,1844780,1482631,0.803,470219,0.317,2024
Kancheepuram,SC,Tamil Nadu,Selvam. G,Dravida Munnetra Kazhagam,1748866,1259578,0.72,221473,0.176,2024
Kaushambi,SC,Uttar Pradesh,Pushpendra Saroj,Samajwadi Party,1909620,1009329,0.529,103944,0.103,2024
Kolar,SC,Karnataka,M. Mallesh Babu,Janata Dal (Secular),1726914,1355228,0.785,71388,0.053,2024
Lalganj,SC,Uttar Pradesh,Daroga Prasad Saroj,Samajwadi Party,1838882,1003438,0.546,115023,0.115,2024
Machhlishahr,SC,Uttar Pradesh,Priya Saroj,Samajwadi Party,1940605,1060063,0.546,35850,0.034,2024
Mathurapur,SC,West Bengal,Bapi Haldar,All India Trinamool Congress,1817068,1496024,0.82,201057,0.134,2024
Mohanlalganj,SC,Uttar Pradesh,R.K. Chaudhary,Samajwadi Party,2187232,1377452,0.63,70292,0.051,2024
Nagapattinam,SC,Tamil Nadu,Selvaraj V,Communist Party Of India,1345120,973011,0.723,208957,0.215,2024
Nagina,SC,Uttar Pradesh,Chandrashekhar,Aazad Samaj Party (Kanshi Ram),1644909,1001303,0.609,151473,0.151,2024
Nilgiris,SC,Tamil Nadu,Raja A,Dravida Munnetra Kazhagam,1428387,1018906,0.713,240585,0.236,2024
Robertsganj,SC,Uttar Pradesh,Chhotelal,Samajwadi Party,1779189,1009545,0.567,129234,0.128,2024
Samastipur,SC,Bihar,Shambhavi,Lok Janshakti Party(Ram Vilas),1818530,1094592,0.602,187251,0.171,2024
Shirdi,SC,Maharashtra,Bhausaheb Rajaram Wakchaure,Shiv Sena (Uddhav Balasaheb Thackrey),1677335,1059864,0.632,50529,0.048,2024
Tenkasi,SC,Tamil Nadu,Dr Rani Sri Kumar,Dravida Munnetra Kazhagam,1525439,1039119,0.681,196199,0.189,2024
Tirupati,SC,Andhra Pradesh,Gurumoorthy Maddila,Yuvajana Sramika Rythu Congress Party,1729832,1382570,0.799,14569,0.011,2024
Viluppuram,SC,Tamil Nadu,Ravikumar. D,Viduthalai Chiruthaigal Katchi,1503115,1152667,0.767,70703,0.061,2024
Arakkonam,SC,Tamil Nadu,"Velu, R.",Pattali Makkal Katchi,1160259,773529,0.667,102196,0.132,2004
Asansol,SC,West Bengal,Bikash Chowdhury,Communist Party Of India (Marxist),1092141,724790,0.664,124318,0.172,2004
Azamgarh,SC,Uttar Pradesh,Ramakant Yadav,Bahujan Samaj Party,1425023,711356,0.499,6968,0.01,2004
Bahraich,SC,Uttar Pradesh,Rubab Sayeda,Samajwadi Party,1423646,549535,0.386,26334,0.048,2004
Barasat,SC,West Bengal,Subrata Bose,All India Forward Bloc,1388017,1148662,0.828,12160,0.011,2004
Barrackpore,SC,West Bengal,Tarit Baran Topdar,Communist Party Of India (Marxist),981008,792471,0.808,165071,0.208,2004
Basirhat,SC,West Bengal,Ajay Chakraborty,Communist Party Of India,1107129,906003,0.818,182084,0.201,2004
Bolpur,SC,West Bengal,Somnath Chatterjee,Communist Party Of India (Marxist),1035012,767695,0.742,310305,0.404,2004
Chail,SC,Uttar Pradesh,Shailendra Kumar,Samajwadi Party,1484115,555332,0.374,630,0.001,2004
Cooch Behar,SC,West Bengal,Hiten Barman,All India Forward Bloc,1148934,947381,0.825,226569,0.239,2004
Dharmapuri,SC,Tamil Nadu,"Senthil, Dr. R.",Pattali Makkal Katchi,1295521,707804,0.546,216090,0.305,2004
Domariaganj,SC,Uttar Pradesh,Mohd. Muqueem,Bahujan Samaj Party,1350045,643127,0.476,52902,0.082,2004
Dum Dum,SC,West Bengal,Amitava Nandy,Communist Party Of India (Marxist),1543705,1245065,0.807,98252,0.079,2004
Durgapur,SC,West Bengal,Sunil Khan,Communist Party Of India (Marxist),1150939,844777,0.734,277508,0.328,2004
Etah,SC,Uttar Pradesh,Ku. Devendra Singh Yadav,Samajwadi Party,1128519,587065,0.52,51335,0.087,2004
Firozabad,SC,Uttar Pradesh,Ram Ji Lal Suman,Samajwadi Party,1305888,531305,0.407,54788,0.103,2004
Gaya,SC,Bihar,Rajesh Kumar Manjhi,Rashtriya Janata Dal,1436323,883374,0.615,102934,0.117,2004
Hamirpur,SC,Uttar Pradesh,Rajnarayan Alias Rajju Mahraj,Samajwadi Party,1185235,604055,0.51,37154,0.062,2004
Jagatsinghpur,SC,Orissa,Brahmananda Panda,Biju Janata Dal,1301496,928017,0.713,57262,0.062,2004
Jahanabad,SC,Bihar,Ganesh Prasad Singh,Rashtriya Janata Dal,1246756,863788,0.693,46438,0.054,2004
Jalpaiguri,SC,West Bengal,Minati Sen,Communist Party Of India (Marxist),1104784,884971,0.801,180605,0.204,2004
Khalilabad,SC,Uttar Pradesh,Bhalchandra Yadava,Bahujan Samaj Party,1397045,700982,0.502,27023,0.039,2004
Khed,SC,Maharashtra,Adhalarao Patil Shivajirao,Shiv Sena,1319319,731759,0.555,20810,0.028,2004
Kishanganj,SC,Bihar,Taslimuddin,Rashtriya Janata Dal,1278476,813315,0.636,160497,0.197,2004
Ludhiana,SC,Punjab,Sharanjit Singh Dhillon,Shiromani Akali Dal,1560468,869922,0.558,29540,0.034,2004
Madhepura,SC,Bihar,Lalu Prasad,Rashtriya Janata Dal,1187490,695657,0.586,69987,0.101,2004
Madras North,SC,Tamil Nadu,Kuppusami. C,Dravida Munetra Kazhagam,2000866,915786,0.458,253539,0.277,2004
Mavelikara,SC,Kerala,C. S. Sujatha,Communist Party Of India (Marxist),871592,642816,0.738,7414,0.012,2004
Mirzapur,SC,Uttar Pradesh,Narendra Kumar Kushwaha,Bahujan Samaj Party,1630287,728003,0.447,36412,0.05,2004
Misrikh,SC,Uttar Pradesh,Ashok Kumar Rawat,Bahujan Samaj Party,1234107,551699,0.447,19403,0.035,2004
Nagarkurnool,SC,Andhra Pradesh,Dr.Manda Jagannath,Telugu Desam,1296544,882624,0.681,99650,0.113,2004
Palamau,SC,Jharkhand,Manoj Kumar,Rashtriya Janata Dal,1289313,641524,0.498,55144,0.086,2004
Pandharpur,SC,Maharashtra,Athawale Ramdas Bandu,Republican Party Of India (A),1294407,688282,0.532,99693,0.145,2004
Panskura,SC,West Bengal,Gurudas Das Gupta,Communist Party Of India,1061186,871449,0.821,279478,0.321,2004
Phillaur,SC,Punjab,Charanjit Singh Atwal,Shiromani Akali Dal,1181507,722533,0.612,98884,0.137,2004
Puri,SC,Orissa,Braja Kishore Tripathy,Biju Janata Dal,1288034,888907,0.69,60960,0.069,2004
Saharanpur,SC,Uttar Pradesh,Rasheed Masood,Samajwadi Party,1566135,990397,0.632,26828,0.027,2004
Saidpur,SC,Uttar Pradesh,Tufani Saroj,Samajwadi Party,1535355,711286,0.463,29810,0.042,2004
Samastipur,SC,Bihar,Alok Kumar Mehta,Rashtriya Janata Dal,1433793,864688,0.603,126783,0.147,2004
Sambhal,SC,Uttar Pradesh,Pro. Ram Gopal Yadav,Samajwadi Party,1249017,759382,0.608,198061,0.261,2004
Tenkasi,SC,Tamil Nadu,"Appadurai, M.",Communist Party Of India,1084708,709688,0.654,122176,0.172,2004
Tiruchirappalli,SC,Tamil Nadu,Ganesan. L,Marumalarchi Dravida Munnetra Kazhagam,1192254,707830,0.594,216725,0.306,2004
Trichur,SC,Kerala,C. K. Chandrappan,Communist Party Of India,990733,686108,0.693,45961,0.067,2004
Unnao,SC,Uttar Pradesh,Brajesh Pathak,Bahujan Samaj Party,1303203,547514,0.42,17761,0.032,2004
Alathur,SC,Kerala,P.K.Biju,Communist Party Of India (Marxist),1216351,927228,0.762,37312,0.04,2014
Amalapuram,SC,Andhra Pradesh,Dr Pandula Ravindra Babu,Telugu Desam,1357866,1120927,0.826,120576,0.108,2014
Amravati,SC,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,1611365,1004061,0.623,137932,0.137,2014
Arambagh,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,1600293,1361934,0.851,346845,0.255,2014
Bangaon,SC,West Bengal,Kapil Krishna Thakur,All India Trinamool Congress,1540713,1283688,0.833,146601,0.114,2014
Bapatla,SC,Andhra Pradesh,Malyadri Sriram,Telugu Desam,1392965,1184634,0.85,32754,0.028,2014
Bardhaman Purba,SC,West Bengal,Sunil Kumar Mondal,All India Trinamool Congress,1532244,1320922,0.862,114479,0.087,2014
Bhadrak,SC,Orissa,Arjun Charan Sethi,Biju Janata Dal,1469498,1081339,0.736,179359,0.166,2014
Bishnupur,SC,West Bengal,Khan Saumitra,All India Trinamool Congress,1466921,1272070,0.867,149685,0.118,2014
Bolpur,SC,West Bengal,Anupam Hazra,All India Trinamool Congress,1538429,1304756,0.848,236112,0.181,2014
Chidambaram,SC,Tamil Nadu,"Chandrakasi, M",All India Anna Dravida Munnetra Kazhagam,1366189,1088423,0.797,128495,0.118,2014
Chittoor,SC,Andhra Pradesh,Naramalli Sivaprasad,Telugu Desam,1452141,1198915,0.826,44138,0.037,2014
Cooch Behar,SC,West Bengal,Renuka Sinha,All India Trinamool Congress,1613417,1332409,0.826,87107,0.065,2014
Faridkot,SC,Punjab,Prof. Sadhu Singh,Aam Aadmi Party,1455075,1032107,0.709,172516,0.167,2014
Fatehgarh Sahib,SC,Punjab,Harinder Singh Khalsa,Aam Aadmi Party,1396957,1030954,0.738,54144,0.053,2014
Hajipur,SC,Bihar,Ramvilas Paswan,Lok Jan Shakti Party,1649547,904753,0.549,225500,0.249,2014
Jagatsinghpur,SC,Orissa,Kulamani Samal,Biju Janata Dal,1499673,1131932,0.755,276394,0.244,2014
Jajpur,SC,Orissa,Rita Tarai,Biju Janata Dal,1303733,980435,0.752,320271,0.327,2014
Jalpaiguri,SC,West Bengal,Bijoy Chandra Barman,All India Trinamool Congress,1531469,1302117,0.85,69606,0.053,2014
Jamui,SC,Bihar,Chirag Kumar Paswan,Lok Jan Shakti Party,1550936,775639,0.5,85947,0.111,2014
Joynagar,SC,West Bengal,Pratima Mondal,All India Trinamool Congress,1458724,1186052,0.813,108384,0.091,2014
Kancheepuram,SC,Tamil Nadu,Maragatham K,All India Anna Dravida Munnetra Kazhagam,1480123,1128399,0.762,146866,0.13,2014
Karimganj,SC,Assam,Radheshyam Biswas,All India United Democratic Front,1165997,886920,0.761,102094,0.115,2014
Mathurapur,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,1488784,1265531,0.85,138436,0.109,2014
Nagapattinam,SC,Tamil Nadu,Gopal. Dr. K,All India Anna Dravida Munnetra Kazhagam,1210626,942202,0.778,106079,0.113,2014
Nilgiris,SC,Tamil Nadu,"Gopalakrishnan, C.",All India Anna Dravida Munnetra Kazhagam,1269163,933076,0.735,104940,0.112,2014
Peddapalli,SC,Telangana,Balka Suman,Telangana Rashtra Samithi,1425361,1022184,0.717,291158,0.285,2014
Ramtek,SC,Maharashtra,Krupal Balaji Tumane,Shiv Sena,1677245,1050316,0.626,175791,0.167,2014
Ranaghat,SC,West Bengal,Tapas Mandal,All India Trinamool Congress,1602849,1353196,0.844,201767,0.149,2014
Samastipur,SC,Bihar,Ram Chandra Paswan,Lok Jan Shakti Party,1503005,863199,0.574,6872,0.008,2014
Shirdi,SC,Maharashtra,Lokhande Sadashiv Kisan,Shiv Sena,1459712,932645,0.639,199922,0.214,2014
Sirsa,SC,Haryana,Charanjeet Singh Rori,Indian National Lok Dal,1660557,1279105,0.77,115736,0.09,2014
Tenkasi,SC,Tamil Nadu,Vasanthi.M,All India Anna Dravida Munnetra Kazhagam,1382081,1017938,0.737,161774,0.159,2014
Thiruvallur,SC,Tamil Nadu,Venugopal.P.(DR),All India Anna Dravida Munnetra Kazhagam,1702833,1254440,0.737,323430,0.258,2014
Tirupati,SC,Andhra Pradesh,Varaprasad Rao Velagapalli,Yuvajana Sramika Rythu Congress Party,1574544,1213064,0.77,37425,0.031,2014
Viluppuram,SC,Tamil Nadu,Rajendran S,All India Anna Dravida Munnetra Kazhagam,1387007,1067641,0.77,193367,0.181,2014
Warangal,SC,Telangana,Kadiyam Srihari,Telangana Rashtra Samithi,1537781,1174631,0.764,392574,0.334,2014
Amravati,SC,Maharashtra,Navnit Ravi Rana,Independent,1752097,1112385,0.638,36951,0.033,2019
Arambagh,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,1631133,1471981,0.915,1142,0.001,2019
Bardhaman Purb,SC,West Bengal,Sunil Kumar Mondal,All India Trinamool Congress,1836635,1439286,0.79,89311,0.062,2019
Bhadrak,SC,Orissa,Manjulata Mandal,Biju Janata Dal,1583464,1223754,0.777,28803,0.024,2019
Bolpur,SC,West Bengal,Asit Kumar Mal,All India Trinamool Congress,1864137,1461269,0.791,106402,0.073,2019
Chidambaram,SC,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,1459769,1153192,0.801,3219,0.003,2019
Gaya,SC,Bihar,Vijay Kumar,Janata Dal (United),1698772,957248,0.581,152426,0.159,2019
Gopalganj,SC,Bihar,Dr. Alok Kumar Suman,Janata Dal (United),1832200,1024876,0.588,286434,0.279,2019
Hajipur,SC,Bihar,Pashu Pati Kumar Paras,Lok Jan Shakti Party,1810137,1006817,0.57,205449,0.204,2019
Jagatsinghpur,SC,Orissa,Rajashree Mallick,Biju Janata Dal,1584635,1229190,0.78,271655,0.221,2019
Jajpur,SC,Orissa,Sarmistha Sethi,Biju Janata Dal,1413322,1092084,0.778,101693,0.093,2019
Jamui,SC,Bihar,Chirag Kumar Paswan,Lok Jan Shakti Party,1709356,949137,0.578,241049,0.254,2019
Joynagar,SC,West Bengal,Pratima Mondal,All India Trinamool Congress,1805964,1356102,0.757,316775,0.234,2019
Kancheepuram,SC,Tamil Nadu,Selvam.G,Dravida Munetra Kazhagam,1601060,1237612,0.787,286632,0.232,2019
Lalganj,SC,Uttar Pradesh,Sangeeta Azad,Bahujan Samaj Party,1733044,960568,0.557,161597,0.168,2019
Mathurapur,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,1810407,1401953,0.778,203974,0.145,2019
Nagapattinam,SC,Tamil Nadu,Selvaraj M,Communist Party Of India,1292695,1002208,0.783,211353,0.211,2019
Nagarkurnool,SC,Telangana,Pothuganti Ramulu,Telangana Rashtra Samithi,1501178,989847,0.668,189748,0.192,2019
Nagina,SC,Uttar Pradesh,Girish Chandra,Bahujan Samaj Party,1538579,1009456,0.66,166832,0.165,2019
Nilgiris,SC,Tamil Nadu,"Raja, A.",Dravida Munetra Kazhagam,1336480,1010719,0.77,205823,0.204,2019
Peddapalle,SC,Telangana,Venkatesh Netha Borlakunta,Telangana Rashtra Samithi,1368475,970051,0.715,95180,0.098,2019
Ramtek,SC,Maharashtra,Krupal Balaji Tumane,Shiv Sena,1818912,1196744,0.665,126783,0.106,2019
Robertsganj,SC,Uttar Pradesh,Pakauri Lal Kol,Apna Dal (Soneylal),1672073,988287,0.604,54336,0.055,2019
Samastipur,SC,Bihar,Ramchandra Paswan,Lok Jan Shakti Party,1655671,1019025,0.637,251643,0.247,2019
Shirdi,SC,Maharashtra,Sadashiv Kisan Lokhande,Shiv Sena,1524878,1029362,0.679,120195,0.117,2019
Tenkasi,SC,Tamil Nadu,Dhanush.M.Kumar,Dravida Munetra Kazhagam,1472742,1065569,0.733,120286,0.113,2019
Viluppuram,SC,Tamil Nadu,Ravikumar D,Dravida Munetra Kazhagam,1400389,1135540,0.819,128068,0.113,2019
Warangal,SC,Telangana,Dayakar Pasunoori,Telangana Rashtra Samithi,1578335,1061645,0.685,350298,0.33,2019
Anandpur Sahib,GEN,Punjab,Malvinder Singh Kang,Aam Aadmi Party,1732211,1077123,0.622,10846,0.01,2024
Barpeta,GEN,Assam,Phani Bhusan Choudhury,Asom Gana Parishad,1966847,1685943,0.857,222351,0.132,2024
Bathinda,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,1651188,1151170,0.697,49656,0.043,2024
Daman And Diu,GEN,Daman & Diu,Patel Umeshbhai Babubhai,Independent,134189,92410,0.689,6225,0.067,2024
Giridih,GEN,Jharkhand,Chandra Prakash Choudhary,Ajsu Party,1864660,1264833,0.678,80880,0.064,2024
Hyderabad,GEN,Telangana,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,2217094,1080324,0.487,338087,0.313,2024
Khadoor Sahib,GEN,Punjab,Amritpal Singh,Independent,1667797,1047165,0.628,197120,0.188,2024
Kollam,GEN,Kerala,N K Premachandran,Revolutionary Socialist Party,1326648,915691,0.69,150302,0.164,2024
Kottayam,GEN,Kerala,Adv K Francis George,Kerala Congress,1254823,836223,0.666,87266,0.104,2024
Ladakh,GEN,Ladakh,Mohmad Haneefa,Independent,184808,135524,0.733,27862,0.206,2024
Malappuram,GEN,Kerala,E.T. Mohammed Basheer,Indian Union Muslim League,1479921,1085182,0.733,300118,0.277,2024
Mandya,GEN,Karnataka,H.D. Kumaraswamy,Janata Dal (Secular),1779243,1460267,0.821,284620,0.195,2024
Nagaur,GEN,Rajasthan,Hanuman Beniwal,Rashtriya Loktantrik Party,2146725,1238473,0.577,42225,0.034,2024
Ponnani,GEN,Kerala,Dr. M.P Abdussamad Samadani,Indian Union Muslim League,1470804,1026296,0.698,235760,0.23,2024
Sangrur,GEN,Punjab,Gurmeet Singh Meet Hayer,Aam Aadmi Party,1556601,1009665,0.649,172560,0.171,2024
Sikar,GEN,Rajasthan,Amraram,Communist Party Of India (Marxist),2214900,1300856,0.587,72896,0.056,2024
Sikkim,GEN,Sikkim,Indra Hang Subba,Sikkim Krantikari Morcha,464140,384893,0.829,80830,0.21,2024
Adilabad,GEN,Andhra Pradesh,Madhusudhan Reddy Takkala,Telangana Rashtra Samithi,1140834,830601,0.728,40974,0.049,2004
Adoor,GEN,Kerala,Chengara Surendran,Communist Party Of India,960122,682227,0.711,54534,0.08,2004
Alleppey,GEN,Kerala,Dr. K. S. Manoj,Communist Party Of India (Marxist),971154,728156,0.75,1009,0.001,2004
Anakapalli,GEN,Andhra Pradesh,Chalapathirao Pappala,Telugu Desam,1023113,781746,0.764,15414,0.02,2004
Anantnag,GEN,Jammu & Kashmir,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,998905,146632,0.147,38938,0.266,2004
Aska,GEN,Orissa,Hari Har Swain,Biju Janata Dal,1254942,682598,0.544,132602,0.194,2004
Badagara,GEN,Kerala,P. Satheedevi,Communist Party Of India (Marxist),1092826,826054,0.756,130589,0.158,2004
Baramulla,GEN,Jammu & Kashmir,Abdul Rashid Shaheen,Jammu & Kashmir National Conference,940998,334122,0.355,9895,0.03,2004
Bhadrak,GEN,Orissa,Arjun Charan Sethi,Biju Janata Dal,1350755,931990,0.69,94769,0.102,2004
Bhatinda,GEN,Punjab,Paramjit Kaur Gulshan,Shiromani Akali Dal,1285978,763164,0.594,62642,0.082,2004
Bhubaneswar,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,1491536,853667,0.572,112279,0.132,2004
Bobbili,GEN,Andhra Pradesh,Kondapalli Pydithalli Naidu,Telugu Desam,976012,745517,0.764,31348,0.042,2004
Calicut,GEN,Kerala,M. P. Veerendra Kumar,Janata Dal (Secular),1110149,779220,0.702,65326,0.084,2004
Cannanore,GEN,Kerala,A. P. Abdullakutty,Communist Party Of India (Marxist),1088892,858386,0.788,83849,0.098,2004
Chamarajanagar,GEN,Karnataka,M. Shivanna,Janata Dal (Secular),1189973,852745,0.717,43989,0.052,2004
